arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
beets/plugins.py,funcao,find_plugins,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,types,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
beets/plugins.py,funcao,named_queries,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,notify_info_yielded,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,template_funcs,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,early_import_stages,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/plugins.py,funcao,import_stages,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/plugins.py,funcao,_check_conflicts_and_merge,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
beets/plugins.py,funcao,item_field_getters,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,album_field_getters,0,0,0,0,0,0,0,0,0,0,0,0
beets/plugins.py,funcao,send,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/plugins.py,funcao,feat_tokens,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
beets/plugins.py,funcao,apply_item_changes,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
beets/__init__.py,funcao,__getattr__,0,0,0,0,0,0,0,0,0,0,0,0
beets/__init__.py,funcao,read,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,_string_dist_basic,3,6,4,6,9,10,20.2647,31.6993,1.5,47.5489,2.6416,0.0106
beets/autotag/distance.py,funcao,string_dist,9,23,18,34,32,52,132.5713,260.0,6.6522,1729.5652,96.087,0.0867
beets/autotag/distance.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,_weights,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,generic_penalty_keys,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,distance,5,25,17,33,30,50,127.706,245.3445,3.3,809.6369,44.9798,0.0818
beets/autotag/distance.py,funcao,max_distance,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
beets/autotag/distance.py,funcao,raw_distance,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
beets/autotag/distance.py,funcao,color,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
beets/autotag/distance.py,funcao,string,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
beets/autotag/distance.py,funcao,items,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
beets/autotag/distance.py,funcao,__hash__,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,__eq__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/autotag/distance.py,funcao,__lt__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/autotag/distance.py,funcao,__float__,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,__sub__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/autotag/distance.py,funcao,__rsub__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/autotag/distance.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,__getitem__,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
beets/autotag/distance.py,funcao,__iter__,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,__len__,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,keys,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,update,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
beets/autotag/distance.py,funcao,_eq,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/autotag/distance.py,funcao,add,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
beets/autotag/distance.py,funcao,add_equality,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
beets/autotag/distance.py,funcao,add_expr,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,add_number,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/autotag/distance.py,funcao,add_priority,4,6,4,7,10,11,23.5098,36.5412,2.3333,85.2628,4.7368,0.0122
beets/autotag/distance.py,funcao,add_ratio,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
beets/autotag/distance.py,funcao,add_string,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,add_data_source,4,7,4,8,11,12,27.6515,41.5132,2.2857,94.8873,5.2715,0.0138
beets/autotag/distance.py,funcao,get_track_length_grace,0,0,0,0,0,0,0,0,0,0,0,0
beets/autotag/distance.py,funcao,get_track_length_max,0,0,0,0,0,0,0,0,0,0,0,0
